"","FECHA","CLASE","DIA_NOMBRE","PERIODO","ESPECIAL","ACCIDENTES"
"167",2019-01-29,"INCENDIO","MARTES",2019,0,1
"168",2019-01-29,"OTRO","MARTES",2019,0,14
"169",2019-01-30,"ATROPELLO","MIERCOLES",2019,0,13
"170",2019-01-30,"CAIDA_OCUPANTE","MIERCOLES",2019,0,11
"171",2019-01-30,"CHOQUE","MIERCOLES",2019,0,84
"172",2019-01-30,"INCENDIO","MIERCOLES",2019,0,1
"173",2019-01-30,"OTRO","MIERCOLES",2019,0,14
"174",2019-01-30,"VOLCAMIENTO","MIERCOLES",2019,0,4
"175",2019-01-31,"ATROPELLO","JUEVES",2019,0,13
"176",2019-01-31,"CAIDA_OCUPANTE","JUEVES",2019,0,11
"177",2019-01-31,"CHOQUE","JUEVES",2019,0,83
"178",2019-01-31,"INCENDIO","JUEVES",2019,0,1
"179",2019-01-31,"OTRO","JUEVES",2019,0,13
"180",2019-01-31,"VOLCAMIENTO","JUEVES",2019,0,4
"181",2019-02-01,"ATROPELLO","VIERNES",2019,0,13
"182",2019-02-01,"CAIDA_OCUPANTE","VIERNES",2019,0,12
"183",2019-02-01,"CHOQUE","VIERNES",2019,0,87
"184",2019-02-01,"INCENDIO","VIERNES",2019,0,1
"185",2019-02-01,"OTRO","VIERNES",2019,0,14
"186",2019-02-01,"VOLCAMIENTO","VIERNES",2019,0,4
"187",2019-02-02,"ATROPELLO","SABADO",2019,0,12
"188",2019-02-02,"CAIDA_OCUPANTE","SABADO",2019,0,10
"189",2019-02-02,"CHOQUE","SABADO",2019,0,78
"190",2019-02-02,"INCENDIO","SABADO",2019,0,1
"191",2019-02-02,"OTRO","SABADO",2019,0,13
"192",2019-02-02,"VOLCAMIENTO","SABADO",2019,0,4
"193",2019-02-03,"ATROPELLO","DOMINGO",2019,0,8
"194",2019-02-03,"CAIDA_OCUPANTE","DOMINGO",2019,0,7
"195",2019-02-03,"CHOQUE","DOMINGO",2019,0,53
"196",2019-02-03,"INCENDIO","DOMINGO",2019,0,1
"197",2019-02-03,"OTRO","DOMINGO",2019,0,9
"198",2019-02-03,"VOLCAMIENTO","DOMINGO",2019,0,3
"199",2019-02-04,"ATROPELLO","LUNES",2019,0,12
"200",2019-02-04,"CAIDA_OCUPANTE","LUNES",2019,0,11
"201",2019-02-04,"CHOQUE","LUNES",2019,0,80
"202",2019-02-04,"INCENDIO","LUNES",2019,0,1
"203",2019-02-04,"OTRO","LUNES",2019,0,13
"204",2019-02-04,"VOLCAMIENTO","LUNES",2019,0,4
"205",2019-02-05,"ATROPELLO","MARTES",2019,0,13
"206",2019-02-05,"CAIDA_OCUPANTE","MARTES",2019,0,11
"207",2019-02-05,"CHOQUE","MARTES",2019,0,86
"208",2019-02-05,"INCENDIO","MARTES",2019,0,1
"209",2019-02-05,"OTRO","MARTES",2019,0,14
"210",2019-02-05,"VOLCAMIENTO","MARTES",2019,0,4
"211",2019-02-06,"ATROPELLO","MIERCOLES",2019,0,13
"212",2019-02-06,"CAIDA_OCUPANTE","MIERCOLES",2019,0,11
"213",2019-02-06,"CHOQUE","MIERCOLES",2019,0,84
"214",2019-02-06,"INCENDIO","MIERCOLES",2019,0,1
"215",2019-02-06,"OTRO","MIERCOLES",2019,0,14
"216",2019-02-06,"VOLCAMIENTO","MIERCOLES",2019,0,4
"217",2019-02-07,"ATROPELLO","JUEVES",2019,0,13
"218",2019-02-07,"CAIDA_OCUPANTE","JUEVES",2019,0,11
"219",2019-02-07,"CHOQUE","JUEVES",2019,0,83
"220",2019-02-07,"INCENDIO","JUEVES",2019,0,1
"221",2019-02-07,"OTRO","JUEVES",2019,0,13
"222",2019-02-07,"VOLCAMIENTO","JUEVES",2019,0,4
"223",2019-02-08,"ATROPELLO","VIERNES",2019,0,13
"224",2019-02-08,"CAIDA_OCUPANTE","VIERNES",2019,0,12
"225",2019-02-08,"CHOQUE","VIERNES",2019,0,87
"226",2019-02-08,"INCENDIO","VIERNES",2019,0,1
"227",2019-02-08,"OTRO","VIERNES",2019,0,14
"228",2019-02-08,"VOLCAMIENTO","VIERNES",2019,0,4
"229",2019-02-09,"ATROPELLO","SABADO",2019,0,12
"230",2019-02-09,"CAIDA_OCUPANTE","SABADO",2019,0,10
"231",2019-02-09,"CHOQUE","SABADO",2019,0,78
"232",2019-02-09,"INCENDIO","SABADO",2019,0,1
"233",2019-02-09,"OTRO","SABADO",2019,0,13
"234",2019-02-09,"VOLCAMIENTO","SABADO",2019,0,4
"235",2019-02-10,"ATROPELLO","DOMINGO",2019,0,8
