"","Dia","Semana","Mes","Clase","Cantidad_real","Cantidad_Predicha","Grupo_pro"
"905",NA,NA,11,"atropello",271,229,"Mensual"
"906",NA,NA,11,"caida_ocupante",248,230,"Mensual"
"907",NA,NA,11,"choque",2380,2326,"Mensual"
"908",NA,NA,11,"incendio",262,281,"Mensual"
"909",NA,NA,11,"otro",99,16,"Mensual"
"910",NA,NA,12,"atropello",319,272,"Mensual"
"911",NA,NA,12,"caida_ocupante",227,270,"Mensual"
"912",NA,NA,12,"choque",2492,2215,"Mensual"
"913",NA,NA,12,"incendio",264,252,"Mensual"
"914",NA,NA,12,"otro",104,77,"Mensual"
"915",NA,NA,1,"atropello",277,158,"Mensual"
"916",NA,NA,1,"caida_ocupante",264,183,"Mensual"
"917",NA,NA,1,"choque",2017,1901,"Mensual"
"918",NA,NA,1,"otro",286,183,"Mensual"
"919",NA,NA,1,"volcamiento",69,1,"Mensual"
"920",NA,NA,2,"atropello",301,278,"Mensual"
"921",NA,NA,2,"caida_ocupante",258,273,"Mensual"
"922",NA,NA,2,"choque",2175,2177,"Mensual"
"923",NA,NA,2,"otro",306,353,"Mensual"
"924",NA,NA,2,"volcamiento",89,39,"Mensual"
"925",NA,NA,3,"atropello",331,190,"Mensual"
"926",NA,NA,3,"caida_ocupante",256,93,"Mensual"
"927",NA,NA,3,"choque",2230,1957,"Mensual"
"928",NA,NA,3,"otro",257,101,"Mensual"
"929",NA,NA,3,"volcamiento",74,94,"Mensual"
"930",NA,NA,4,"atropello",288,207,"Mensual"
"931",NA,NA,4,"caida_ocupante",227,177,"Mensual"
"932",NA,NA,4,"choque",2242,1973,"Mensual"
"933",NA,NA,4,"incendio",1,19,"Mensual"
"934",NA,NA,4,"otro",288,227,"Mensual"
"935",NA,NA,4,"volcamiento",106,36,"Mensual"
"936",NA,NA,5,"atropello",305,188,"Mensual"
"937",NA,NA,5,"caida_ocupante",285,254,"Mensual"
"938",NA,NA,5,"choque",2443,2383,"Mensual"
"939",NA,NA,5,"incendio",1,13,"Mensual"
"940",NA,NA,5,"otro",331,283,"Mensual"
"941",NA,NA,5,"volcamiento",100,24,"Mensual"
"942",NA,NA,6,"atropello",297,188,"Mensual"
"943",NA,NA,6,"caida_ocupante",235,170,"Mensual"
"944",NA,NA,6,"choque",2339,2132,"Mensual"
"945",NA,NA,6,"incendio",1,13,"Mensual"
"946",NA,NA,6,"otro",280,263,"Mensual"
"947",NA,NA,6,"volcamiento",107,58,"Mensual"
"948",NA,NA,7,"atropello",331,287,"Mensual"
"949",NA,NA,7,"caida_ocupante",320,290,"Mensual"
"950",NA,NA,7,"choque",2447,2369,"Mensual"
"951",NA,NA,7,"otro",447,426,"Mensual"
"952",NA,NA,7,"volcamiento",153,132,"Mensual"
"953",NA,NA,8,"atropello",370,318,"Mensual"
"954",NA,NA,8,"caida_ocupante",337,309,"Mensual"
"955",NA,NA,8,"choque",2770,2575,"Mensual"
"956",NA,NA,8,"incendio",2,8,"Mensual"
"957",NA,NA,8,"otro",463,453,"Mensual"
"958",NA,NA,8,"volcamiento",160,178,"Mensual"
"959",NA,NA,9,"atropello",359,270,"Mensual"
"960",NA,NA,9,"caida_ocupante",362,411,"Mensual"
"961",NA,NA,9,"choque",2568,2571,"Mensual"
"962",NA,NA,9,"otro",528,588,"Mensual"
"963",NA,NA,9,"volcamiento",162,152,"Mensual"
"964",NA,NA,10,"atropello",382,325,"Mensual"
"965",NA,NA,10,"caida_ocupante",290,263,"Mensual"
"966",NA,NA,10,"choque",2658,2415,"Mensual"
"967",NA,NA,10,"incendio",1,6,"Mensual"
"968",NA,NA,10,"otro",483,466,"Mensual"
"969",NA,NA,10,"volcamiento",217,185,"Mensual"
"970",NA,NA,11,"atropello",377,293,"Mensual"
"971",NA,NA,11,"caida_ocupante",336,312,"Mensual"
"972",NA,NA,11,"choque",2309,2202,"Mensual"
"973",NA,NA,11,"incendio",1,0,"Mensual"
"974",NA,NA,11,"otro",418,425,"Mensual"
"975",NA,NA,11,"volcamiento",169,154,"Mensual"
"976",NA,NA,12,"atropello",351,249,"Mensual"
"977",NA,NA,12,"caida_ocupante",347,295,"Mensual"
"978",NA,NA,12,"choque",2587,2257,"Mensual"
"979",NA,NA,12,"incendio",1,0,"Mensual"
"980",NA,NA,12,"otro",421,327,"Mensual"
"981",NA,NA,12,"volcamiento",201,140,"Mensual"
